Publisher,Year_of_Release,Name,Genre,Global_Sales,Critic_Score,User_Score
Namco Bandai Games,1997.0,Treasures of the Deep,Action,0.19,,
Namco Bandai Games,1997.0,Macross Digital Mission VF-X,Simulation,0.3,,
Namco Bandai Games,1997.0,Choujikuu Yousai Macross: Ai Oboete Imasu ka,Shooter,0.1,,
Namco Bandai Games,1997.0,Tales of Destiny,Role-Playing,1.04,,
Namco Bandai Games,1997.0,Dragon Ball GT: Final Bout,Fighting,0.27,,
Namco Bandai Games,1997.0,64 de Hakken! Tamagotchi Minna de Tamagotchi World,Misc,0.22,,
Namco Bandai Games,1997.0,Time Crisis,Shooter,1.68,,
Namco Bandai Games,1997.0,Game de Hakken!! Tamagotchi 2,Simulation,1.45,,
Namco Bandai Games,1997.0,Mobile Suit Gundam Side Story III: Sabakareshi Mono,Shooter,0.15,,
Namco Bandai Games,1997.0,SD Gundam G Century,Strategy,0.29,,
Namco Bandai Games,1998.0,Gundam Battle Assault,Fighting,0.23,61.0,7.8
Namco Bandai Games,1998.0,Tales of Phantasia,Role-Playing,0.58,,
Namco Bandai Games,1998.0,Point Blank 2,Shooter,0.04,,
Namco Bandai Games,1998.0,Kidou Senshi Gundam: Giren no Yabou,Strategy,0.25,,
Namco Bandai Games,1998.0,World Stadium 2,Sports,0.45,,
Namco Bandai Games,1998.0,SD Gundam G Generation,Strategy,0.72,,
Namco Bandai Games,1998.0,R4: Ridge Racer Type 4,Racing,2.06,88.0,9.2
Namco Bandai Games,1998.0,Pac-Man World,Action,1.5,,
Namco Bandai Games,1998.0,Tail Concerto,Adventure,0.03,,
Namco Bandai Games,1999.0,Digimon Digital Card Battle,Strategy,0.11,51.0,9
Namco Bandai Games,1999.0,Chocobo no Fushigi Dungeon for WonderSwan,Role-Playing,0.18,,
Namco Bandai Games,1999.0,Bass Rise,Sports,0.05,,
Namco Bandai Games,1999.0,Digimon Adventure: Anode Tamer,Role-Playing,0.28,,
Namco Bandai Games,1999.0,World Stadium 3,Sports,0.33,,
Namco Bandai Games,1999.0,Neon Genesis Evangelion,Adventure,0.06,,
Namco Bandai Games,1999.0,PD Ultraman Battle Collection 64,Strategy,0.04,,
Namco Bandai Games,1999.0,Space Battleship Yamato: Harukanaru Hoshi Iscandar,Strategy,0.17,,
Namco Bandai Games,1999.0,SoulCalibur,Fighting,0.34,98.0,8.8
Namco Bandai Games,1999.0,Namco Museum 64,Misc,1.45,,
Namco Bandai Games,1999.0,Mr. Driller,Puzzle,0.04,,
Namco Bandai Games,1999.0,SD Gundam G Generation Zero,Strategy,0.55,,
Namco Bandai Games,1999.0,Countdown Vampires,Adventure,0.04,41.0,tbd
Namco Bandai Games,1999.0,Digimon World,Role-Playing,1.3,,
Namco Bandai Games,2000.0,Digimon World 2,Role-Playing,0.58,42.0,7.6
Namco Bandai Games,2000.0,Point Blank 3,Shooter,0.02,78.0,8.4
Namco Bandai Games,2000.0,Tekken Tag Tournament,Fighting,4.05,85.0,8.5
Namco Bandai Games,2000.0,Ridge Racer V,Action,1.24,78.0,7.7
Namco Bandai Games,2000.0,Super Robot Taisen Compact 2 Dai-1-Bu,Strategy,0.17,,
Namco Bandai Games,2000.0,Ms. Pac-Man Maze Madness,Puzzle,0.44,,
Namco Bandai Games,2000.0,SD Gundam G Generation-F,Strategy,0.38,,
Namco Bandai Games,2000.0,MotoGP,Racing,0.27,77.0,6
Namco Bandai Games,2000.0,Ms. Pac-Man: Maze Madness,Puzzle,0.22,,
Namco Bandai Games,2000.0,Tales of Destiny II,Role-Playing,0.81,78.0,8.7
Namco Bandai Games,2000.0,Mobile Suit Gundam: Journey to Jaburo,Simulation,0.7,58.0,8.1
Namco Bandai Games,2000.0,Seven: Molmorth no Kiheitai,Action,0.09,,
Namco Bandai Games,2000.0,World Stadium 4,Sports,0.16,,
Namco Bandai Games,2000.0,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,Strategy,0.57,,
Namco Bandai Games,2001.0,Mr. Driller 2,Puzzle,0.16,62.0,tbd
Namco Bandai Games,2001.0,Mobile Suit Gundam: Zeonic Front,Simulation,0.43,71.0,8.8
Namco Bandai Games,2001.0,From TV Animation One Piece: Tobidase Kaizokudan!,Role-Playing,0.35,,
Namco Bandai Games,2001.0,Time Crisis II,Shooter,0.53,81.0,7.9
Namco Bandai Games,2001.0,World Stadium 5,Sports,0.09,,
Namco Bandai Games,2001.0,SD Gundam G Generation-F.I.F,Strategy,0.12,,
Namco Bandai Games,2001.0,Namco Museum,Misc,4.24,79.0,7.3
Namco Bandai Games,2001.0,Gundam Battle Online,Action,0.04,,
Namco Bandai Games,2001.0,Digimon Rumble Arena,Fighting,0.02,64.0,8.8
Namco Bandai Games,2001.0,Namco Museum,Misc,1.82,72.0,6
Namco Bandai Games,2001.0,SD Gundam G Generation: Gather Beat 2,Strategy,0.03,,
Namco Bandai Games,2001.0,Time Crisis: Project Titan,Shooter,0.05,71.0,6.7
Namco Bandai Games,2002.0,SD Gundam G Generation Neo,Strategy,0.57,,
Namco Bandai Games,2002.0,Tales of the World: Narikiri Dungeon 2,Role-Playing,0.19,,
Namco Bandai Games,2002.0,From TV Animation One Piece: Treasure Battle!,Fighting,0.29,,
Namco Bandai Games,2002.0,Namco Museum,Misc,0.63,62.0,tbd
Namco Bandai Games,2002.0,Klonoa 2: Dream Champ Tournament,Platform,0.03,78.0,9.3
Namco Bandai Games,2002.0,Kamen Rider Ryuki,Action,0.14,,
Namco Bandai Games,2002.0,Smashing Drive,Racing,0.04,42.0,tbd
Namco Bandai Games,2002.0,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,Fighting,0.14,,
Namco Bandai Games,2002.0,Tales of Destiny 2,Role-Playing,0.8,,
Namco Bandai Games,2002.0,InuYasha: A Feudal Fairy Tale,Fighting,0.11,69.0,9
Namco Bandai Games,2002.0,Ninja Assault,Shooter,0.11,60.0,5.3
Namco Bandai Games,2002.0,Mobile Suit Gundam: Lost War Chronicles,Shooter,0.39,,
Namco Bandai Games,2002.0,Taiko no Tatsujin: Tatakon de Dodon ga Don,Misc,0.76,,
Namco Bandai Games,2002.0,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,Strategy,0.38,,
Namco Bandai Games,2002.0,Shaman King: Spirit of Shamans,Action,0.2,,
Namco Bandai Games,2002.0,Pac-Man World 2,Action,0.49,66.0,tbd
Namco Bandai Games,2002.0,Jitsumei Jikkyou Keiba Dream Classic 2002,Sports,0.02,,
Namco Bandai Games,2002.0,Klonoa Heroes: Densetsu no Star Medal,Role-Playing,0.04,,
Namco Bandai Games,2002.0,Netsu Chu! Pro Yakyuu 2002,Sports,0.25,,
Namco Bandai Games,2002.0,Pac-Man World 2,Action,1.51,73.0,7.8
Namco Bandai Games,2002.0,Samurai Deeper Kyo,Fighting,0.05,,
Namco Bandai Games,2002.0,Xenosaga Episode I: Der Wille zur Macht,Role-Playing,1.74,83.0,8.7
Namco Bandai Games,2002.0,Klonoa Beach Volleyball,Sports,0.06,,
Namco Bandai Games,2002.0,From TV Animation One Piece: Grand Battle 2,Fighting,0.6,,
Namco Bandai Games,2002.0,Tekken 4,Fighting,3.44,79.0,8.3
Namco Bandai Games,2003.0,Netsu Chu! Pro Yakyuu 2003,Sports,0.28,,
Namco Bandai Games,2003.0,From TV Animation One Piece: Grand Battle! 3,Fighting,0.2,,
Namco Bandai Games,2003.0,SoulCalibur II,Fighting,2.06,92.0,8.8
Namco Bandai Games,2003.0,R: Racing Evolution,Racing,0.09,67.0,tbd
Namco Bandai Games,2003.0,MotoGP 3 - Official Game of MotoGP,Racing,0.12,,
Namco Bandai Games,2003.0,Shaman King: Soul Fight,Platform,0.05,,
Namco Bandai Games,2003.0,I-Ninja,Platform,0.09,77.0,7.6
Namco Bandai Games,2003.0,Mobile Suit Gundam: Encounters in Space,Simulation,0.72,66.0,8.5
Namco Bandai Games,2003.0,Kill.Switch,Shooter,0.24,75.0,8
Namco Bandai Games,2003.0,Mobile Suit Gundam Seed,Action,0.22,,
Namco Bandai Games,2003.0,Digimon Battle Spirit 2,Fighting,0.15,63.0,tbd
Namco Bandai Games,2003.0,R: Racing Evolution,Racing,0.28,66.0,6.2
Namco Bandai Games,2003.0,Mobile Suit Z Gundam: AEUG vs. Titans,Fighting,0.63,,
Namco Bandai Games,2003.0,Taiko no Tatsujin: Appare Sandaime,Misc,0.49,,
Namco Bandai Games,2003.0,I-Ninja,Platform,0.07,75.0,8.4
Namco Bandai Games,2003.0,Taiko no Tatsujin: Waku Waku Anime Matsuri,Misc,0.2,,
Namco Bandai Games,2003.0,Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,Misc,0.44,,
Namco Bandai Games,2003.0,Time Crisis 3,Shooter,0.61,81.0,8.1
Namco Bandai Games,2003.0,R: Racing Evolution,Racing,0.08,67.0,tbd
Namco Bandai Games,2003.0,SoulCalibur II,Fighting,1.5,93.0,9.1
Namco Bandai Games,2003.0,From TV Animation One Piece: Grand Battle! 3,Fighting,0.32,,
Namco Bandai Games,2003.0,Pac-Man Player's Choice Bundle,Misc,0.62,,
Namco Bandai Games,2003.0,SoulCalibur II,Fighting,1.0,92.0,8.9
Namco Bandai Games,2004.0,Katamari Damacy,Puzzle,0.73,86.0,9
Namco Bandai Games,2004.0,Taiko Drum Master,Misc,0.2,77.0,8.1
Namco Bandai Games,2004.0,SRS: Street Racing Syndicate,Racing,0.24,,
Namco Bandai Games,2004.0,Ridge Racer DS,Racing,0.15,63.0,6.7
Namco Bandai Games,2004.0,Kotoba no Puzzle: Mojipittan Daijiten,Puzzle,0.11,,
Namco Bandai Games,2004.0,SD Gundam Force,Shooter,0.02,,tbd
Namco Bandai Games,2004.0,Taiko no Tatsujin: Go! Go! Godaime,Misc,0.2,,
Namco Bandai Games,2004.0,The Legend of Heroes II: Prophecy of the Moonlight Witch,Role-Playing,0.14,63.0,6.9
Namco Bandai Games,2004.0,Ghost in the Shell: Stand Alone Complex,Adventure,0.16,,
Namco Bandai Games,2004.0,Dragon Ball: Advanced Adventure,Action,0.04,75.0,8.5
Namco Bandai Games,2004.0,Galactic Wrestling: Featuring Ultimate Muscle,Fighting,0.22,61.0,8
Namco Bandai Games,2004.0,SD Gundam Force: Showdown!,Shooter,0.04,,
Namco Bandai Games,2004.0,Naruto: Ultimate Ninja 2,Fighting,0.57,73.0,7.9
Namco Bandai Games,2004.0,Time Crisis: Crisis Zone,Shooter,0.22,66.0,tbd
Namco Bandai Games,2004.0,Battle Assault 3 featuring Gundam Seed,Action,0.03,48.0,8.7
Namco Bandai Games,2004.0,Digimon Racing,Racing,0.13,62.0,tbd
Namco Bandai Games,2004.0,InuYasha: The Secret of the Cursed Mask,Role-Playing,0.43,51.0,8.1
Namco Bandai Games,2004.0,Tales of Rebirth,Role-Playing,0.59,,
Namco Bandai Games,2004.0,Famicom Mini: Dig Dug,Puzzle,0.05,,
Namco Bandai Games,2004.0,SD Gundam G Generation Seed,Strategy,0.4,,
Namco Bandai Games,2004.0,SRS: Street Racing Syndicate,Racing,0.54,,
Namco Bandai Games,2004.0,Mobile Suit Gundam Seed: Never Ending Tomorrow,Shooter,0.06,45.0,7.8
Namco Bandai Games,2004.0,Gundam Seed: Battle Assault,Fighting,0.08,,
Namco Bandai Games,2004.0,SRS: Street Racing Syndicate,Racing,0.08,,
Namco Bandai Games,2004.0,Mobile Suit Gundam: Gundam vs. Zeta Gundam,Shooter,0.06,57.0,8.6
Namco Bandai Games,2005.0,Shonen Jump's One Piece: Grand Adventure,Fighting,0.02,,
Namco Bandai Games,2005.0,Shonen Jump's One Piece: Pirates Carnival,Misc,0.08,,
Namco Bandai Games,2005.0,Gundam SEED: Federation vs. Z.A.F.T.,Shooter,0.44,,
Namco Bandai Games,2005.0,Urban Reign,Action,0.08,60.0,8.2
Namco Bandai Games,2005.0,SoulCalibur III,Fighting,1.07,86.0,8.4
Namco Bandai Games,2005.0,InuYasha: Feudal Combat,Fighting,0.27,52.0,8.3
Namco Bandai Games,2005.0,Pac-Man World 3,Platform,0.17,44.0,tbd
Namco Bandai Games,2005.0,Namco Museum: 50th Anniversary,Misc,0.18,62.0,tbd
Namco Bandai Games,2005.0,DICE: DNA Integrated Cybernetic Enterprises,Shooter,0.03,48.0,tbd
Namco Bandai Games,2005.0,Mobile Suit Gundam Seed Destiny: Generation of C.E.,Action,0.18,,
Namco Bandai Games,2005.0,Shonen Jump's One Piece: Grand Battle,Fighting,0.06,,
Namco Bandai Games,2005.0,Namco Museum 50th Anniversary (JP sales),Misc,0.02,,
Namco Bandai Games,2005.0,Namco Museum: 50th Anniversary,Misc,0.2,60.0,tbd
Namco Bandai Games,2005.0,Ridge Racer 6,Racing,0.2,74.0,7.1
Namco Bandai Games,2005.0,Ms Saga: A New Dawn,Role-Playing,0.05,65.0,8.6
Namco Bandai Games,2005.0,Gundam Battle Tactics,Action,0.07,,
Namco Bandai Games,2005.0,Pac-Man World 3,Platform,0.07,61.0,6
Namco Bandai Games,2005.0,Zatch Bell! Mamodo Battles,Fighting,0.06,,
Namco Bandai Games,2005.0,Tales of Legendia,Role-Playing,0.49,72.0,7.7
Namco Bandai Games,2005.0,SD Gundam: Gashapon Wars,Strategy,0.07,,
Namco Bandai Games,2005.0,Pac-Pix,Puzzle,0.27,71.0,7.1
Namco Bandai Games,2005.0,Namco Museum: 50th Anniversary,Misc,0.21,60.0,tbd
Namco Bandai Games,2005.0,Pac-Man World 3,Platform,0.21,63.0,5.2
Namco Bandai Games,2005.0,Real Time Conflict: Shogun Empires,Strategy,0.07,35.0,5.6
Namco Bandai Games,2005.0,Mobile Suit Gundam: One Year War,Action,0.44,,
Namco Bandai Games,2005.0,Gumby vs. the Astrobots,Action,0.04,63.0,tbd
Namco Bandai Games,2005.0,Namco Museum: 50th Anniversary,Misc,3.98,61.0,tbd
Namco Bandai Games,2005.0,Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,Misc,0.04,,
Namco Bandai Games,2005.0,Me & My Katamari,Puzzle,0.23,,
Namco Bandai Games,2005.0,The Berenstain Bears and the Spooky Old Tree,Platform,0.05,,
Namco Bandai Games,2005.0,Digimon World 4,Role-Playing,0.09,55.0,8.1
Namco Bandai Games,2005.0,Zatch Bell! Mamodo Fury,Fighting,0.04,,
Namco Bandai Games,2005.0,Tales of the Abyss,Role-Playing,0.57,78.0,8.4
Namco Bandai Games,2005.0,Ms. Pac-Man: Maze Madness / Pac-Man World,Puzzle,0.24,,
Namco Bandai Games,2005.0,Tekken 5,Fighting,3.87,88.0,8.6
Namco Bandai Games,2005.0,Pac-Man World 3,Platform,0.15,65.0,tbd
Namco Bandai Games,2005.0,Zatch Bell! Mamodo Battles,Fighting,0.08,,
Namco Bandai Games,2005.0,The Legend of Heroes: A Tear of Vermillion,Role-Playing,0.09,68.0,7.7
Namco Bandai Games,2005.0,Pac-Man World 3,Platform,0.09,66.0,7.3
Namco Bandai Games,2005.0,SD Gundam G Generation DS,Role-Playing,0.09,,
Namco Bandai Games,2005.0,Pac 'n Roll,Platform,0.11,72.0,tbd
Namco Bandai Games,2006.0,SD Gundam: Scad Hammers,Strategy,0.05,,
Namco Bandai Games,2006.0,Naruto: Ultimate Ninja Heroes (JP sales),Fighting,0.06,,
Namco Bandai Games,2006.0,Warhammer: Battle For Atluma,Action,0.07,55.0,7.4
Namco Bandai Games,2006.0,.hack//G.U. Vol.2//Reminisce,Role-Playing,0.23,,
Namco Bandai Games,2006.0,Brave Story: Boku no Kioku to Negai,Role-Playing,0.02,,
Namco Bandai Games,2006.0,The Fast and the Furious,Racing,0.06,59.0,6.6
Namco Bandai Games,2006.0,Portable Island: Tenohira Resort,Simulation,0.02,,
Namco Bandai Games,2006.0,JoJo no Kimy? na B?ken Fantomu Buraddo,Action,0.05,,
Namco Bandai Games,2006.0,Style Book: Cinnamoroll,Misc,0.01,,
Namco Bandai Games,2006.0,Mobile Suit Gundam: Crossfire,Simulation,0.2,33.0,5.1
Namco Bandai Games,2006.0,Kamen Rider Kabuto,Action,0.06,,
Namco Bandai Games,2006.0,Heisei Kyouiku linkai DS,Misc,0.21,,
Namco Bandai Games,2006.0,Kaitou Rousseau,Action,0.01,,
Namco Bandai Games,2006.0,Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,Adventure,0.05,,
Namco Bandai Games,2006.0,Samurai Champloo: Sidetracked,Action,0.05,66.0,7.2
Namco Bandai Games,2006.0,Digimon World DS (JP sales),Role-Playing,0.23,,
Namco Bandai Games,2006.0,Ennichi no Tatsujin,Misc,0.1,,
Namco Bandai Games,2006.0,Style Book: Junior City,Misc,0.02,,
Namco Bandai Games,2006.0,The Legend of Heroes III: Song of the Ocean,Role-Playing,0.03,58.0,6.1
Namco Bandai Games,2006.0,Snoopy vs the Red Baron,Adventure,0.05,76.0,7.8
Namco Bandai Games,2006.0,Bounty Hounds,Action,0.03,63.0,6
Namco Bandai Games,2006.0,QuickSpot,Misc,0.14,68.0,tbd
Namco Bandai Games,2006.0,Pac-Man World Rally,Racing,0.08,57.0,7.8
Namco Bandai Games,2006.0,Taiko no Tatsujin Portable 2,Misc,0.05,,
Namco Bandai Games,2006.0,Battle Stadium D.O.N,Fighting,0.15,,
Namco Bandai Games,2006.0,Pro Yakyuu Netsu Star 2006,Sports,0.14,,
Namco Bandai Games,2006.0,Gundam Battle Royale,Action,0.12,,
Namco Bandai Games,2006.0,Battle Stadium D.O.N,Fighting,0.09,,
Namco Bandai Games,2006.0,Pac-Man World Rally,Racing,0.04,51.0,tbd
Namco Bandai Games,2006.0,Tales of Phantasia (PS1 & PSP Versions),Role-Playing,0.11,,
Namco Bandai Games,2006.0,Quiz Mobile Gundam: Toi Senshi DX,Puzzle,0.04,,
Namco Bandai Games,2006.0,Shonen Jump's One Piece: Grand Adventure,Fighting,0.04,,
Namco Bandai Games,2006.0,Saint Seiya: The Hades,Fighting,0.04,,
Namco Bandai Games,2006.0,Curious George,Action,0.03,57.0,tbd
Namco Bandai Games,2006.0,Curious George,Action,0.15,,
Namco Bandai Games,2006.0,Captain Tsubasa,Sports,0.08,,
Namco Bandai Games,2006.0,Naruto: Ninja Destiny,Fighting,0.19,61.0,4.4
Namco Bandai Games,2006.0,Tamagotchi Party On!,Misc,0.19,,
Namco Bandai Games,2006.0,Uchuu Keiji Tamashii: The Space Sheriff Spirits,Action,0.02,,
Namco Bandai Games,2006.0,Chuugen no Hasha: Sangoku Shouseiden,Strategy,0.02,,
Namco Bandai Games,2006.0,Eureka Seven Vol. 2: The New Vision,Shooter,0.02,40.0,7
Namco Bandai Games,2006.0,Pac-Man World Rally,Racing,0.02,54.0,7.4
Namco Bandai Games,2006.0,Digimon World DS,Role-Playing,0.1,71.0,7.6
Namco Bandai Games,2006.0,Tales of the Tempest,Role-Playing,0.18,,
Namco Bandai Games,2006.0,Naruto: Uzumaki Chronicles 2 (JP sales),Action,0.05,,
Namco Bandai Games,2006.0,Mage Knight: Destiny's Soldier,Strategy,0.02,59.0,7.1
Namco Bandai Games,2006.0,Xenosaga I·II,Role-Playing,0.02,,
Namco Bandai Games,2006.0,.hack//G.U. Vol.1//Rebirth,Role-Playing,0.17,,
Namco Bandai Games,2006.0,Curious George,Action,0.16,65.0,tbd
Namco Bandai Games,2006.0,Culdcept SAGA,Role-Playing,0.16,75.0,8.7
Namco Bandai Games,2006.0,.hack//G.U. Vol.2//Reminisce (jp sales),Role-Playing,0.16,,
Namco Bandai Games,2006.0,Gintama DS: Yorozuya Daisoudou,Action,0.07,,
Namco Bandai Games,2006.0,Mobile Suit Gundam: Climax U.C.,Action,0.23,,
Namco Bandai Games,2006.0,Curious George,Action,0.12,53.0,7.7
Namco Bandai Games,2006.0,SD Gundam G Generation Portable,Strategy,0.27,,
Namco Bandai Games,2006.0,Naruto: Ninja Destiny (US sales),Fighting,0.3,,
Namco Bandai Games,2006.0,Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,Shooter,0.49,,
Namco Bandai Games,2006.0,Tales of Destiny,Role-Playing,0.52,,
Namco Bandai Games,2006.0,Xenosaga Episode III: Also sprach Zarathustra,Role-Playing,0.37,81.0,9
Namco Bandai Games,2006.0,Ace Combat X: Skies of Deception,Simulation,0.99,75.0,8.3
Namco Bandai Games,2006.0,Ridge Racer 7,Racing,1.36,78.0,7.1
Namco Bandai Games,2006.0,Digimon World: Data Squad,Role-Playing,0.24,43.0,8
Namco Bandai Games,2006.0,Ace Combat Zero: The Belkan War,Simulation,0.51,75.0,8.4
Namco Bandai Games,2006.0,Naruto: Ultimate Ninja Heroes,Fighting,0.26,70.0,6.6
Namco Bandai Games,2006.0,Naruto: Uzumaki Chronicles 2,Action,0.58,52.0,6.9
Namco Bandai Games,2006.0,Tamagotchi Connection: Corner Shop 2,Simulation,0.97,66.0,tbd
Namco Bandai Games,2007.0,The Idolm@ster,Simulation,0.08,,
Namco Bandai Games,2007.0,Tales of Destiny 2,Role-Playing,0.12,,
Namco Bandai Games,2007.0,SD Gundam G Generation Spirits,Strategy,0.38,,
Namco Bandai Games,2007.0,Retro Game Challenge,Action,0.11,77.0,7.3
Namco Bandai Games,2007.0,Code Geass: Hangyaku no Lelouch,Action,0.03,,
Namco Bandai Games,2007.0,One Piece: Unlimited Adventure,Adventure,0.19,67.0,8.5
Namco Bandai Games,2007.0,Kotoba no Puzzle: Mojipittan DS,Puzzle,0.37,,
Namco Bandai Games,2007.0,Meitantei Conan: Tantei Ryoku Trainer,Misc,0.06,,
Namco Bandai Games,2007.0,Mobile Suit Gundam: MS Sensen 0079,Simulation,0.11,,
Namco Bandai Games,2007.0,One Piece: Gear Spirit,Fighting,0.08,,
Namco Bandai Games,2007.0,Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,Misc,0.04,,
Namco Bandai Games,2007.0,Haneru no Tobira Wii: Girigirissu,Misc,0.02,,
Namco Bandai Games,2007.0,Tales of Fandom Vol.2,Role-Playing,0.08,,
Namco Bandai Games,2007.0,Treasure Gaust: Gaust Diver Crimson Red / Deep Purple,Action,0.03,,
Namco Bandai Games,2007.0,Dynasty Warriors Gundam,Action,0.19,55.0,6.8
Namco Bandai Games,2007.0,Gintama: Gin-San to Issho! Boku no Kabuki Machi Nikki,Action,0.08,,
Namco Bandai Games,2007.0,Taiko no Tatsujin DS: Touch de Dokodon!,Misc,0.66,,
Namco Bandai Games,2007.0,Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,Action,0.06,,
Namco Bandai Games,2007.0,Yes! PreCure 5,Action,0.04,,
Namco Bandai Games,2007.0,Suzumiya Haruhi no Yakusoku,Adventure,0.15,,
Namco Bandai Games,2007.0,Smash Court Tennis 3,Sports,0.04,68.0,6.3
Namco Bandai Games,2007.0,Dragon Ball Z: Harukanaru Densetsu (JP sales),Role-Playing,0.15,,
Namco Bandai Games,2007.0,Beautiful Katamari,Puzzle,0.32,73.0,7
Namco Bandai Games,2007.0,Digimon World: Dawn / Dusk,Role-Playing,0.31,,
Namco Bandai Games,2007.0,Naruto Shippuden: Ultimate Ninja 5,Fighting,0.17,,
